local_row,local_col,injected_row_px,injected_col_px,measured_row_px,measured_col_px,error_px
32,32,0.0,0.0,6.733935857336793e-09,-4.718425232035131e-09,8.222495290423217e-09
32,143,0.0,0.0,2.9800069771223356e-09,7.877573435908844e-10,3.082369740326291e-09
32,255,0.0,0.0,5.529995373911187e-09,1.812501892149213e-09,5.819451172105803e-09
32,367,0.0,0.0,-2.499461638020477e-10,-5.818032269312437e-09,5.823398713085013e-09
32,479,0.0,0.0,-3.6370731423955672e-09,-6.941861505131493e-10,3.702728109745493e-09
143,32,0.0,0.0,-7.84913827064966e-09,-1.2437276615111241e-08,1.4706965057161523e-08
143,143,0.0,0.0,-5.309283000257145e-10,-9.075052914232412e-10,1.0514041628837965e-09
143,255,0.0,0.0,-5.576623755930897e-09,3.1688213410098647e-09,6.414059650989565e-09
143,367,0.0,0.0,-4.197628622591728e-09,3.3446250883239477e-10,4.210932346050669e-09
143,479,0.0,0.0,-7.02764428074906e-09,-9.897155765807104e-09,1.2138429733264257e-08
255,32,0.0,0.0,-5.804399825348425e-09,2.80642244189678e-09,6.447252457821604e-09
255,143,0.0,0.0,-4.352464973596329e-10,3.246568404835585e-09,3.2756138235055282e-09
255,255,0.0,0.0,5.547465733388634e-09,-6.8673649970589396e-09,8.828084620457113e-09
255,367,0.0,0.0,4.364418508303289e-09,-6.1937517065262716e-09,7.576985490135071e-09
255,479,0.0,0.0,3.918052681282882e-09,-3.798485353201289e-09,5.457071356670417e-09
367,32,0.0,0.0,2.869544565980213e-09,2.275027335301022e-09,3.6619715171630485e-09
367,143,0.0,0.0,-2.1079722694039762e-10,-2.2632909841287779e-10,3.0929004457652304e-10
367,255,0.0,0.0,-5.780726994222549e-09,1.0003684917891242e-08,1.1553809610608008e-08
367,367,0.0,0.0,-3.102289734714568e-09,3.753543253370146e-09,4.869629200774523e-09
367,479,0.0,0.0,-2.2931497574840746e-09,-1.3762742844794714e-09,2.6744469926264664e-09
479,32,0.0,0.0,-8.255606340553429e-10,2.0006994488628936e-09,2.1643356128803468e-09
479,143,0.0,0.0,-2.9216265891703505e-09,2.3364918403037734e-09,3.741002011006315e-09
479,255,0.0,0.0,2.2206931875033647e-09,-7.581177566165142e-10,2.3465337768549402e-09
479,367,0.0,0.0,9.486161011693114e-10,1.3103121167263258e-10,9.57622935100274e-10
479,479,0.0,0.0,-1.8343513866285681e-09,5.096775671603472e-09,5.416822616283015e-09
32,32,0.005,0.0,0.004808687989142101,-8.132033677418069e-06,0.00019148476563482384
32,143,0.005,0.0,0.004804400405246487,4.606609411910268e-05,0.00020095095544716535
32,255,0.005,0.0,0.0049201938332651615,5.999976364986131e-06,8.00313936233104e-05
32,367,0.005,0.0,0.0048218110935973925,-1.66668599114671e-05,0.00017896667450747843
32,479,0.005,0.0,0.004763903757172465,-3.8354624060762816e-05,0.000239191373306231
143,32,0.005,0.0,0.004760753001934857,1.4829921887589956e-05,0.00023970617986688312
143,143,0.005,0.0,0.004790968556281259,-1.35521940134128e-05,0.00020947029962674481
143,255,0.005,0.0,0.0047404469949576256,4.2426404849595895e-05,0.00026299764686207503
143,367,0.005,0.0,0.004739939639521757,4.889297518806336e-05,0.00026461654165001533
143,479,0.005,0.0,0.004789603325647021,1.3153284726690238e-05,0.00021080742272959637
255,32,0.005,0.0,0.004719742303103825,4.18899156168044e-05,0.0002833710318644646
255,143,0.005,0.0,0.0047309160663459495,-4.87860872139663e-05,0.00027347074003700324
255,255,0.005,0.0,0.004728161900486473,-0.00011087186279865596,0.00029357881787957734
255,367,0.005,0.0,0.004826005033125524,9.153345755431478e-05,0.000196602701785854
255,479,0.005,0.0,0.004717582765323279,-9.485370783631422e-06,0.0002825764793845181
367,32,0.005,0.0,0.0047419179687688134,5.358613356234783e-05,0.0002635864346937774
367,143,0.005,0.0,0.004778574215726629,-2.6953952502503412e-05,0.00022306029116941597
367,255,0.005,0.0,0.004756474629612753,1.0652432864441013e-05,0.00024375824160051998
367,367,0.005,0.0,0.004927400240101375,-2.2767328746864784e-05,7.608598028287385e-05
367,479,0.005,0.0,0.004861306954798868,2.2206270976119907e-05,0.00014045952889650535
479,32,0.005,0.0,0.004783148530348764,-2.2570626684379912e-05,0.00021802291870082503
479,143,0.005,0.0,0.004551870618422989,4.635520166850446e-05,0.00045052052933725647
479,255,0.005,0.0,0.00475528894846071,-0.0001024278650213506,0.0002652828043396275
479,367,0.005,0.0,0.0048235877336670905,3.258098890138517e-06,0.00017644235013480002
479,479,0.005,0.0,0.004752270750881932,3.9615383460099556e-05,0.00025087678145913056
32,32,-0.005,0.0,-0.004807844302724075,8.5177770510001e-06,0.00019234439040816185
32,143,-0.005,0.0,-0.004804159607135772,-4.577848867750757e-05,0.00020111968949561336
32,255,-0.005,0.0,-0.004920020850681188,-6.032116233514386e-06,8.020630119894282e-05
32,367,-0.005,0.0,-0.004822408544648176,1.6697978069070917e-05,0.00017837473892223134
32,479,-0.005,0.0,-0.004763699897686407,3.8233303317797756e-05,0.00023937318946783793
143,32,-0.005,0.0,-0.004759939351438252,-1.5132461317804359e-05,0.00024053712057273388
143,143,-0.005,0.0,-0.004791286302304942,1.3486220280169255e-05,0.0002091489558735337
143,255,-0.005,0.0,-0.004741684676611286,-4.269447634151222e-05,0.00026181983234180734
143,367,-0.005,0.0,-0.004742178194674278,-4.915467733079758e-05,0.0002624657417738729
143,479,-0.005,0.0,-0.004788987052480056,-1.3857959148614993e-05,0.00021146750826739203
255,32,-0.005,0.0,-0.004720438665392306,-4.1415493925462084e-05,0.00028261242531906687
255,143,-0.005,0.0,-0.0047301440527477995,4.8889003013133063e-05,0.00027424873178011344
255,255,-0.005,0.0,-0.004729844835473709,0.00011050700449638657,0.0002918828719931882
255,367,-0.005,0.0,-0.004824963571244759,-9.205907134605268e-05,0.00019776911793423736
255,479,-0.005,0.0,-0.004716695340660755,1.0036727769275139e-05,0.00028348239082461615
367,32,-0.005,0.0,-0.004741689843954837,-5.3846692689374846e-05,0.0002638628489000688
367,143,-0.005,0.0,-0.004779087733086219,2.6944980843845937e-05,0.00022254945892017112
367,255,-0.005,0.0,-0.004756205501557572,-1.049198756684119e-05,0.00024402016161353943
367,367,-0.005,0.0,-0.004926586962518556,2.2165928618861344e-05,7.668639034266983e-05
367,479,-0.005,0.0,-0.0048607569682130305,-2.1936429049499614e-05,0.0001409603803225245
479,32,-0.005,0.0,-0.004784092015145896,2.2310362594621152e-05,0.00021705761954574068
479,143,-0.005,0.0,-0.0045527720771584524,-4.697015315768188e-05,0.00044968768079281583
479,255,-0.005,0.0,-0.004756078642568079,0.00010200165948769472,0.0002643898015235736
479,367,-0.005,0.0,-0.0048233619802649464,-3.6855176326061822e-06,0.00017667646435261676
479,479,-0.005,0.0,-0.004751047026426213,-3.9472019060488326e-05,0.00025206273691274204
32,32,0.0,0.005,-1.848859654874114e-05,0.004670955815066153,0.00032956320158828735
32,143,0.0,0.005,3.3867314776161024e-06,0.004901670422319335,9.838788440127872e-05
32,255,0.0,0.005,7.234065813723605e-06,0.004725936863871359,0.0002741585933230314
32,367,0.0,0.005,-1.2184684969322457e-05,0.004840555098798006,0.00015990979665772597
32,479,0.0,0.005,-1.8380739844160928e-05,0.004529567305388745,0.0004707916436773548
143,32,0.0,0.005,-1.234404818299206e-05,0.004741499106550414,0.0002587954548282838
143,143,0.0,0.005,-7.519404582097383e-06,0.00486520784764176,0.00013500172510985328
143,255,0.0,0.005,2.165236457130783e-05,0.004629546751604126,0.0003710854809051196
143,367,0.0,0.005,-8.442788320157431e-06,0.004758175849328948,0.00024197148700289998
143,479,0.0,0.005,-3.8451654868939805e-05,0.004477022053994389,0.0005243896087551778
255,32,0.0,0.005,-1.1753350522165114e-05,0.004631375737705164,0.00036881158875624924
255,143,0.0,0.005,1.0096286139851216e-05,0.004879100275361706,0.00012132056054697896
255,255,0.0,0.005,-7.915617220246917e-06,0.00475912600521791,0.00024100402145661343
255,367,0.0,0.005,6.3888819064433635e-06,0.004759251447297315,0.0002408333104876737
255,479,0.0,0.005,-6.203272671566439e-06,0.00476945533573052,0.00023062810499799226
367,32,0.0,0.005,-5.1404213776593525e-05,0.0044727802282697165,0.0005297198135781992
367,143,0.0,0.005,-1.8180926817994966e-05,0.0047947480128323,0.00020605563408034004
367,255,0.0,0.005,-7.439353068537669e-06,0.004705179392110555,0.0002949144533765345
367,367,0.0,0.005,-1.8510999737544574e-05,0.004586078163226419,0.00041433554526409944
367,479,0.0,0.005,3.992373461168441e-05,0.004605859446022666,0.00039615739406819594
479,32,0.0,0.005,-4.9501517185007446e-05,0.0045954676386553706,0.00040754979030626373
479,143,0.0,0.005,-9.7581494652108e-07,0.004618756739987998,0.00038124450883834243
479,255,0.0,0.005,-1.3923862207765644e-05,0.004848299640966195,0.00015233802174692334
479,367,0.0,0.005,2.4255278473312735e-05,0.0035432172963169046,0.0014569846136058017
479,479,0.0,0.005,-4.194234985748705e-05,0.004736871098210574,0.0002664507077650144
32,32,0.0,-0.005,1.8947867907663066e-05,-0.004671392651048036,0.00032915317328484676
32,143,0.0,-0.005,-3.4450541670427253e-06,-0.004901756616887758,9.830376759591986e-05
32,255,0.0,-0.005,-7.178000235076478e-06,-0.004727483038801733,0.0002726114777996566
32,367,0.0,-0.005,1.2217001792382369e-05,-0.004840864252760663,0.00015960401367828175
32,479,0.0,-0.005,1.817263086918582e-05,-0.004530431672293956,0.0004699198430555558
143,32,0.0,-0.005,1.2557975390086888e-05,-0.004741493020141583,0.0002588118262008482
