cycle,imposed_phase_equivalent_um,measured_phase_equivalent_um,az_shift_px,rg_shift_px
0.0,0.0,0.0,0.0,0.0
0.025,4.693033951206926,4.693033951206934,1.7611871861475635e-14,-1.6299352302619953e-14
0.05,9.270509831248422,9.27050983124843,0.0,1.629935229943193e-14
0.07500000000000001,13.619714992186404,13.61971499218636,-3.335565030697819e-14,0.0
0.1,17.633557568774194,17.633557568774183,0.0,0.0
0.125,21.213203435596423,21.21320343559642,0.0,0.0
0.15000000000000002,24.270509831248425,24.270509831248425,1.7611871861475635e-14,0.0
0.17500000000000002,26.730195725651036,26.73019572565106,0.0,0.0
0.2,28.531695488854606,28.531695488854552,1.7611871861475635e-14,0.0
0.225,29.630650217854132,29.63065021785414,0.0,3.2590045642190075e-14
0.25,30.0,30.000000000000043,3.5223743719229127e-14,-3.250555430516545e-14
0.275,29.63065021785413,29.63065021785414,0.0,3.2590045642190075e-14
0.30000000000000004,28.531695488854606,28.531695488854552,1.7611871861475635e-14,0.0
0.325,26.730195725651036,26.73019572565106,0.0,0.0
0.35000000000000003,24.270509831248425,24.270509831248425,1.7611871861475635e-14,0.0
0.375,21.213203435596427,21.21320343559643,-3.2276248515169006e-14,0.0
0.4,17.633557568774197,17.633557568774194,0.0,0.0
0.42500000000000004,13.619714992186394,13.619714992186351,-1.7611871855272073e-14,0.0
0.45,9.270509831248425,9.270509831248436,0.0,1.629935229943193e-14
0.47500000000000003,4.693033951206929,4.693033951206934,1.761187185899421e-14,-1.6299352300494604e-14
0.5,3.67394039744206e-15,0.0,0.0,0.0
0.525,-4.693033951206922,-4.693033951206933,0.0,1.629935229943193e-14
0.55,-9.270509831248432,-9.270509831248413,0.0,-1.6299352298369255e-14
0.5750000000000001,-13.619714992186413,-13.619714992186436,3.335565030697819e-14,0.0
0.6000000000000001,-17.6335575687742,-17.63355756877419,0.0,0.0
0.625,-21.213203435596423,-21.21320343559639,0.0,0.0
0.65,-24.27050983124842,-24.27050983124838,-1.761187185899421e-14,0.0
0.675,-26.730195725651033,-26.73019572565102,0.0,0.0
0.7000000000000001,-28.531695488854606,-28.53169548885459,-1.7611871862716346e-14,0.0
0.7250000000000001,-29.630650217854136,-29.630650217854136,-3.2276248515169006e-14,-3.2590045642190075e-14
0.75,-30.0,-30.000000000000004,0.0,3.250555430093901e-14
0.775,-29.630650217854132,-29.630650217854136,-3.2276248515169006e-14,-3.2590045642190075e-14
0.8,-28.53169548885461,-28.53169548885459,0.0,0.0
0.8250000000000001,-26.730195725651036,-26.73019572565102,0.0,0.0
0.8500000000000001,-24.27050983124841,-24.27050983124837,-1.7611871861475635e-14,0.0
0.875,-21.21320343559643,-21.2132034355964,3.2276248515169006e-14,0.0
0.9,-17.6335575687742,-17.63355756877419,0.0,0.0
0.925,-13.61971499218641,-13.619714992186436,3.335565030697819e-14,0.0
0.9500000000000001,-9.27050983124843,-9.270509831248411,0.0,-1.6299352298369255e-14
0.9750000000000001,-4.693033951206907,-4.693033951206927,0.0,1.6299352300494604e-14
1.0,-7.34788079488412e-15,0.0,0.0,0.0
