run,layout,strength,sampled_pixels,median_point_power_ratio,minimum_point_power_ratio,maximum_point_power_ratio,median_point_depth_suppression_fraction,remote_power_ratio,shape_gate_count,full_gate_count,shape_gate_fraction,full_gate_fraction
baseline,none,0.0,9072,,,,,1.0,832,0,0.09171075837742504,0.0
original_1,original,1.0,9072,0.9407984365712456,0.8877545990206598,0.9952423223489736,0.6499999999999999,1.0000704152830708,840,0,0.09259259259259259,0.0
original_4,original,4.0,9072,0.5291483237881511,0.464721183891662,0.7951722827322517,0.890625,1.0033380404994199,838,0,0.09237213403880071,0.0
original_8,original,8.0,9072,0.2754999233767172,0.1957716512286232,0.5391626191946264,0.9781249999999999,1.014850202635391,836,0,0.09215167548500881,0.0
random_101_1,random_101,1.0,9072,0.9474086210411473,0.8602144132518764,0.9756948658942156,0.65,1.0002273957820984,820,0,0.09038800705467372,0.0
random_101_4,random_101,4.0,9072,0.5663920259271285,0.4341826651542106,0.8345892959904113,0.84375,1.0040772621176774,836,0,0.09215167548500881,0.0
random_101_8,random_101,8.0,9072,0.2575579123476446,0.19735168863093708,0.602775550641615,0.95,1.0166237278361858,824,0,0.09082892416225749,0.0
random_102_1,random_102,1.0,9072,0.9544235836210293,0.9009700597838478,0.9782301218813142,0.609375,1.0002816341430596,846,0,0.09325396825396826,0.0
random_102_4,random_102,4.0,9072,0.6437293853937348,0.3702169809723317,0.8131324502611873,0.81875,1.0049433552286382,865,0,0.09534832451499119,0.0
random_102_8,random_102,8.0,9072,0.33978705213695837,0.1358682975933962,0.545857163514891,0.9625,1.0200323985368693,861,0,0.09490740740740741,0.0
random_103_1,random_103,1.0,9072,0.9668619158963718,0.9051161291860855,0.998026082291142,0.625,1.000212491480322,830,0,0.09149029982363316,0.0
random_103_4,random_103,4.0,9072,0.6770632618208392,0.524311383685496,0.8839014032344097,0.846875,1.0027617123853825,837,0,0.09226190476190477,0.0
random_103_8,random_103,8.0,9072,0.34569042794360616,0.220953852560447,0.6991317565051115,0.9468749999999999,1.0106545787242898,818,0,0.09016754850088184,0.0
