seed,separation_m,predicted_depth_m,peak_depth_m
0,1.0,8.86215107245308,7.73665788625154
0,2.0,17.72430214490616,16.33294442653103
0,3.0,26.586453217359246,28.36774558292231
0,4.0,35.44860428981232,36.10440346917385
1,1.0,8.86215107245308,7.73665788625154
1,2.0,17.72430214490616,15.47331577250308
1,3.0,26.586453217359246,27.508116928894363
1,4.0,35.44860428981232,36.10440346917385
2,1.0,8.86215107245308,8.596286540279488
2,2.0,17.72430214490616,16.33294442653103
2,3.0,26.586453217359246,27.508116928894363
2,4.0,35.44860428981232,36.10440346917385
3,1.0,8.86215107245308,7.73665788625154
3,2.0,17.72430214490616,16.33294442653103
3,3.0,26.586453217359246,27.508116928894363
3,4.0,35.44860428981232,36.10440346917385
4,1.0,8.86215107245308,7.73665788625154
4,2.0,17.72430214490616,16.33294442653103
4,3.0,26.586453217359246,27.508116928894363
4,4.0,35.44860428981232,35.2447748151459
5,1.0,8.86215107245308,8.596286540279488
5,2.0,17.72430214490616,16.33294442653103
5,3.0,26.586453217359246,27.508116928894363
5,4.0,35.44860428981232,36.10440346917385
6,1.0,8.86215107245308,7.73665788625154
6,2.0,17.72430214490616,16.33294442653103
6,3.0,26.586453217359246,27.508116928894363
6,4.0,35.44860428981232,36.10440346917385
7,1.0,8.86215107245308,6.877029232223591
7,2.0,17.72430214490616,16.33294442653103
7,3.0,26.586453217359246,27.508116928894363
7,4.0,35.44860428981232,36.10440346917385
8,1.0,8.86215107245308,7.73665788625154
8,2.0,17.72430214490616,16.33294442653103
8,3.0,26.586453217359246,27.508116928894363
8,4.0,35.44860428981232,36.10440346917385
9,1.0,8.86215107245308,7.73665788625154
9,2.0,17.72430214490616,15.47331577250308
9,3.0,26.586453217359246,27.508116928894363
9,4.0,35.44860428981232,36.10440346917385
