frequency_hz,depth_m,radius_m,relative_waveform_L2_change,peak_difference_over_peak_baseline
8.0,60.0,20.0,0.2296027718623767,0.15340992103712547
8.0,120.0,20.0,0.19359751750650084,0.10656787092118787
8.0,240.0,20.0,0.14095125043530063,0.06415162075978213
25.0,60.0,20.0,0.3378273143696995,0.2300709765433704
25.0,120.0,20.0,0.24519872928634628,0.12425242713041204
25.0,240.0,20.0,0.1411147083750983,0.05474418651234634
